Number;Name;LastName;Gender;Birthday;Birthtown;Street;Hometown;Sportsclub;Weight
20;Pack;Marie;f;17.02.2009;Waren (Müritz);Zur Alten Schmiede 22;17349 Waren (Müritz);JSV Waren;29
23;Trenks;Anna;f;10.02.2009;Berlin;Schwanbecker Strae 8;17087 Berlin;PSV Berlin;28
7;Enders;Anna;f;18.02.2009;Berlin;Semmelweitrae 21;17258 Berlin;PSV Berlin;28
1;Behnke;Ann-Kathrin;f;20.02.2009;Demmin;Siedlung Nr. 2;17091 Demmin;Judo MV;29
9;Köpke;Franziska Marie;f;02.02.2009;Dresden;Sperlingstrae 9;17034 Dresden;Dresdner Judo Verein;28
25;Weiler;Tim;m;30.09.2006;Magdeburg;Zum grünen Steig 3;17094 Magdeburg;JSV Magdeburg;35
12;Hofmann;Paul;f;07.11.2006;Leipzig;Ziolkowskistrae 18;17089 Leipzig;Leipziger Sportlöwen;35
4;Fricke;Jan;m;24.12.2006;Arnstadt;Ziegelei 3;17034 Arnstadt;;35
19;Nebelung;Nico;f;11.08.2005;Waren;Warener Chauee 38;17091 Waren;JSV Waren;35
25;Wachsmuth;Noel Amon;m;22.08.2005;Waren;Waldmeisterweg 3;17034 Waren;JSV Waren;40
11;Petersen;Sandro;f;28.08.2005;Neustrelitz;Usedomer Strae 3;17255 Neustrelitz;Neustrelitzer PSV;40
12;Schell;Susan;f;04.09.2005;Neustrelitz;Tollenseweg 1;17036 Neustrelitz;Neustrelitzer PSV;40
3;Bednarek;Talea Asina;m;27.09.2005;Goslar;Teschendorfer Chauee 27;17348 Goslar;;39
26;Benz;Tom;m;01.12.2005;Suhl;Kopernikutrae 24;17237 Suhl;Suhler JSV;44
15;Fejleh;Vanea;m;27.01.2006;Meiningen;Koszaliner Strae 4;17034 Meiningen;;39
11;Greiner;Vivien;m;04.02.2006;Anklam;Kurze Str. 4;07309 Anklam;Hanse-Judo;33
10;Hoffmann;Salim;f;15.02.2006;Neubrandenburg;L.-v.-Beethoven-Ring 14;07036 Neubrandenburg;Judo Jedis NB;37
11;Holzmann;Rudi;m;01.03.2006;Aachen;Lindenring 11;17098 Berlin;PSV Berlin;31
16;Kirschke;Nora-Aileen;m;08.03.2006;Anklam;Lindenstrae 16;17036 Anklam;Hanse-Judo;36
6;Langhans;Moritz;m;08.03.2005;Berlin;Marie-Hager-Strae 36;17094 Berlin;PSV Berlin;41
15;Laskewitz;Moritz;m;25.04.2003;Cottbus;Max-Planck-Strae 4;17036 Cottbus;Judo Ost;60
